year,month,labor_force,employment,unemployment,unemployment_rate
2001,Jan,4776626,4525511,251115,5.3
2001,Feb,4784609,4532532,252077,5.3
2001,Mar,4801990,4539546,262444,5.5
2001,Apr,4773107,4521803,251304,5.3
2001,May,4764617,4529712,234905,4.9
2001,Jun,4837431,4565815,271616,5.6
2001,Jul,4830363,4571923,258440,5.4
2001,Aug,4748731,4484910,263821,5.6
2001,Sep,4726406,4479644,246762,5.2
2001,Oct,4725174,4467877,257297,5.4
